,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-bloop,Python
65,ml-calibration,Jupyter Notebook
66,ml-capsules-inverted-attention-routing,Python
67,ml-cifar-10-faster,Python
68,ml-code-switched-speech-translation,Python
69,ml-codeswitching-translations,
70,ml-collegial-ensembles,Python
71,ml-compress-and-compare,Python
72,ml-core,Python
73,ml-covid-mobility,R
74,ml-cread,Python
75,ml-cross-entropy,Python
76,ml-cvnets,Python
77,ml-cvpr2019-swd,Python
78,ml-dab,Python
79,ml-data-parameters,Python
80,ml-dataset-decomposition,Python
81,ml-delphi,
82,ml-depth-pro,Python
83,ml-destseg,Python
84,ml-diffusion-alignment-gflownet,Python
85,ml-direct2.5,Python
86,ml-divide-or-conquer,Python
87,ml-dms-dataset,Python
88,ml-dprecs,Jupyter Notebook
89,ml-dr,Python
90,ml-duet,Python
91,ml-entity-deduction-arena,Python
92,ml-entropy-reconstruction,Python
93,ml-envmapnet,Python
94,ml-equivariant-neural-rendering,Jupyter Notebook
95,ml-facelit,Python
96,ml-famae,Python
97,ml-fastvit,Python
98,ml-fct,Python
99,ml-ferret,Python
100,ml-finerecon,Python
101,ml-flair,Jupyter Notebook
102,ml-gaudi,
103,ml-gbc,Python
104,ml-gendered-translation,Ruby
105,ml-gmpi,Python
106,ml-gsm-symbolic,
107,ml-gsn,Python
108,ml-hd-gist,Python
109,ml-heart-rate-models,Python
110,ml-hierarchical-confusion-matrix,TypeScript
111,ml-hugs,Python
112,ml-hypercloning,Python
113,ml-hypersim,Python
114,ml-interactive-data-augmentation,Svelte
115,ml-interspeech2022-phi_rtn,
116,ml-jointnet,Python
117,ml-key-retrieval-code-tasks,Python
118,ml-keyframer,JavaScript
119,ml-kg-mt,Python
120,ml-kge,Python
121,ml-knowledge-conflicts,Python
122,ml-kpconvx,Python
123,ml-live-pose,
124,ml-llarp,Python
125,ml-lucid-datagen,Python
126,ml-mad-bench,Jupyter Notebook
127,ml-mcf,Python
128,ml-mdm,Python
129,ml-mgie,Python
130,ml-mia-bench,Jupyter Notebook
131,ml-MixupMP,Python
132,ml-mkqa,Python
133,ml-mobileclip,Python
134,ml-mobileone,Swift
135,ml-mofi,Python
136,ml-multiple-futures-prediction,Python
137,ml-mycelium,JavaScript
138,ml-ncg,Python
139,ml-negative-sampling,Python
140,ml-neilf,Python
141,ml-neilfpp,Python
142,ml-neuman,Python
143,ml-no-token-left-behind,Jupyter Notebook
144,ml-np-rasp,Python
145,ml-nvas3d,Python
146,ml-ogen,Python
147,ml-pgdvs,Python
148,ml-planner,Python
149,ml-pointconvformer,Python
150,ml-pointersect,Python
151,ml-probabilistic-attention,Python
152,ml-projunit,Python
153,ml-qrecc,Python
154,ml-quant,Python
155,ml-recurrent-drafter,Python
156,ml-reed,Python
157,ml-rlgrad,Python
158,ml-robust-expert-augmentations,Python
159,ml-rpm-bench,Python
160,ml-sad,Python
161,ml-sage-dialog-gen,Python
162,ml-sampleplan,Python
163,ml-selfcond,Python
164,ml-shuffling-amplification,Python
165,ml-sigma-reparam,Python
166,ml-sigmoid-attention,Python
167,ml-slowfast-llava,Python
168,ml-spatial-librispeech,
169,ml-speech-is-more-than-words,
170,ml-spin,Python
171,ml-stable-diffusion,Python
172,ml-stabledreamer,
173,ml-stuttering-events-dataset,Python
174,ml-superposition-prompting,Python
175,ml-symphony,Svelte
176,ml-tarflow,Python
177,ml-tic-clip,Python
178,ml-toad,Python
179,ml-tract,Python
180,ml-transcript-translation-consistency-ratings,
181,ml-translate-vis,TypeScript
182,ml-tree-dst,Python
183,ml-tune-mode-convbn,Python
184,ml-tweak,Python
185,ml-upscale,Jupyter Notebook
186,ml-uwac,Python
187,ml-veclip,Jupyter Notebook
188,ml-vfi-smiff,Python
189,ml-vfm-kt,
190,ml-vision-transformers-ane,Python
191,ml-vivid,Python
192,music-feed-examples,Java
193,openjdk,Java
194,parameterized-transforms,Python
195,password-manager-resources,JavaScript
196,pfl-research,Jupyter Notebook
197,pkl,Java
198,pkl-evolution,
199,pkl-go,Go
200,pkl-go-examples,Go
201,pkl-intellij,Kotlin
202,pkl-jvm-examples,Groovy
203,pkl-k8s,Pkl
204,pkl-k8s-examples,Pkl
205,pkl-lang.org,JavaScript
206,pkl-lsp,Kotlin
207,pkl-neovim,Scheme
208,pkl-package-docs,Kotlin
209,pkl-pantry,Pkl
210,pkl-project-commons,Pkl
211,pkl-spring,Java
212,pkl-swift,Swift
213,pkl-swift-examples,Swift
214,pkl-vscode,TypeScript
215,pkl.tmbundle,
216,pytorch-speech-features,Python
217,rules_pkl,Starlark
218,sample-backyard-birds,Swift
219,sample-cloudkit-coredatasync,Swift
220,sample-cloudkit-encryption,Swift
221,sample-cloudkit-privatedb,Swift
222,sample-cloudkit-privatedb-sync,Swift
223,sample-cloudkit-queries,Swift
224,sample-cloudkit-sharing,Swift
225,sample-cloudkit-sync-engine,Swift
226,sample-cloudkit-tooling,JavaScript
227,sample-cloudkit-zonesharing,Swift
228,sample-food-truck,Swift
229,security-pcc,Swift
230,servicetalk,Java
231,swift-3-api-guidelines-review,Swift
232,swift-algorithms,Swift
233,swift-argument-parser,Swift
234,swift-asn1,Swift
235,swift-async-algorithms,Swift
236,swift-async-dns-resolver,Swift
237,swift-atomics,Swift
238,swift-cassandra-client,Swift
239,swift-certificates,Swift
240,swift-clang,C++
241,swift-clang-tools-extra,C++
242,swift-cluster-membership,Swift
243,swift-cmake-examples,CMake
244,swift-collections,Swift
245,swift-collections-benchmark,Swift
246,swift-compiler-rt,C
247,swift-container-plugin,Swift
248,swift-crypto,Assembly
249,swift-distributed-actors,Swift
250,swift-distributed-tracing,Swift
251,swift-distributed-tracing-baggage-core,Swift
252,swift-distributed-tracing-extras,Swift
253,swift-embedded-examples,Swift
254,swift-evolution-staging,Swift
255,swift-for-wasm-examples,Swift
256,swift-getting-started-cli,Swift
257,swift-getting-started-package-library,Swift
258,swift-homomorphic-encryption,Swift
259,swift-homomorphic-encryption-protobuf,
260,swift-http-structured-headers,Swift
261,swift-http-types,Swift
262,swift-internals,HTML
263,swift-issues,
264,swift-libcxx,C++
265,swift-llbuild2,Swift
266,swift-lldb,C++
267,swift-llvm,LLVM
268,swift-log,Swift
269,swift-matter-examples,Swift
270,swift-metrics,Swift
271,swift-metrics-extras,Swift
272,swift-migration-guide,Markdown
273,swift-mmio,Swift
274,swift-nio,Swift
275,swift-nio-examples,Swift
276,swift-nio-extras,Swift
277,swift-nio-http2,Swift
278,swift-nio-imap,Swift
279,swift-nio-nghttp2-support,Swift
280,swift-nio-oblivious-http,Swift
281,swift-nio-ssh,Swift
282,swift-nio-ssl,Assembly
283,swift-nio-ssl-support,Swift
284,swift-nio-transport-services,Swift
285,swift-nio-zlib-support,Swift
286,swift-numerics,Swift
287,swift-openapi-generator,Swift
288,swift-openapi-runtime,Swift
289,swift-openapi-urlsession,Swift
290,swift-playdate-examples,Swift
291,swift-protobuf,Swift
292,swift-protobuf-plugin,
293,swift-protobuf-test-conformance,
294,swift-sample-distributed-actors-transport,Swift
295,swift-service-context,Swift
296,swift-service-discovery,Swift
297,swift-standard-library-preview,Swift
298,swift-statsd-client,Swift
299,swift-string-processing-benchmarks,Swift
300,swift-system,Swift
301,swift-tools-support-async,Swift
302,swift-xcode-playground-support,Swift
303,swiftpm-on-llbuild2,Swift
304,tensor-visualizer,Svelte
305,tensorflow_macos,Shell
306,ToolSandbox,Python
307,tree-sitter-pkl,C
308,turicreate,C++
309,unityplugins,C#
310,VideoFlashingReduction,Mathematica
311,vqg-multimodal-assistant,Python
